model_type,curve,x_value,y_value
hist_gradient_boosting,PR,1.0,0.516728624535316
hist_gradient_boosting,PR,0.9928057553956835,0.5149253731343284
hist_gradient_boosting,PR,0.9928057553956835,0.5168539325842697
hist_gradient_boosting,PR,0.9928057553956835,0.518796992481203
hist_gradient_boosting,PR,0.9928057553956835,0.5207547169811321
hist_gradient_boosting,PR,0.9928057553956835,0.5227272727272727
hist_gradient_boosting,PR,0.9928057553956835,0.5247148288973384
hist_gradient_boosting,PR,0.9928057553956835,0.5267175572519084
hist_gradient_boosting,PR,0.9928057553956835,0.5287356321839081
hist_gradient_boosting,PR,0.9928057553956835,0.5307692307692308
hist_gradient_boosting,PR,0.9928057553956835,0.5328185328185329
hist_gradient_boosting,PR,0.9928057553956835,0.5348837209302325
hist_gradient_boosting,PR,0.9928057553956835,0.5369649805447471
hist_gradient_boosting,PR,0.9928057553956835,0.5390625
hist_gradient_boosting,PR,0.9928057553956835,0.5411764705882353
hist_gradient_boosting,PR,0.9928057553956835,0.5433070866141733
hist_gradient_boosting,PR,0.9928057553956835,0.5454545454545454
hist_gradient_boosting,PR,0.9928057553956835,0.5476190476190477
hist_gradient_boosting,PR,0.9928057553956835,0.549800796812749
hist_gradient_boosting,PR,0.9928057553956835,0.552
hist_gradient_boosting,PR,0.9928057553956835,0.5542168674698795
hist_gradient_boosting,PR,0.9928057553956835,0.5564516129032258
hist_gradient_boosting,PR,0.9856115107913669,0.5546558704453441
hist_gradient_boosting,PR,0.9856115107913669,0.556910569105691
hist_gradient_boosting,PR,0.9856115107913669,0.5591836734693878
hist_gradient_boosting,PR,0.9856115107913669,0.5614754098360656
hist_gradient_boosting,PR,0.9856115107913669,0.5637860082304527
hist_gradient_boosting,PR,0.9784172661870504,0.5619834710743802
hist_gradient_boosting,PR,0.9784172661870504,0.5643153526970954
hist_gradient_boosting,PR,0.9784172661870504,0.5666666666666667
hist_gradient_boosting,PR,0.9784172661870504,0.5690376569037657
hist_gradient_boosting,PR,0.9784172661870504,0.5714285714285714
hist_gradient_boosting,PR,0.9784172661870504,0.5738396624472574
