model_type,fold,metric_name,metric_value
logistic_regression,1,precision,0.846154
logistic_regression,2,precision,0.866667
logistic_regression,3,precision,0.846154
logistic_regression,4,precision,0.785714
logistic_regression,5,precision,0.857143
logistic_regression,6,precision,0.818182
logistic_regression,7,precision,0.846154
logistic_regression,8,precision,0.769231
logistic_regression,9,precision,1.0
logistic_regression,10,precision,0.909091
logistic_regression,1,recall,0.785714
logistic_regression,2,recall,0.928571
logistic_regression,3,recall,0.785714
logistic_regression,4,recall,0.846154
logistic_regression,5,recall,0.857143
logistic_regression,6,recall,0.642857
logistic_regression,7,recall,0.785714
logistic_regression,8,recall,0.714286
logistic_regression,9,recall,0.857143
logistic_regression,10,recall,0.714286
logistic_regression,1,roc_auc,0.907563
logistic_regression,2,roc_auc,0.983193
logistic_regression,3,roc_auc,0.878151
logistic_regression,4,roc_auc,0.900452
logistic_regression,5,roc_auc,0.933036
logistic_regression,6,roc_auc,0.852679
logistic_regression,7,roc_auc,0.973214
logistic_regression,8,roc_auc,0.883929
logistic_regression,9,roc_auc,0.9375
logistic_regression,10,roc_auc,0.870536
logistic_regression_l1,1,accuracy,0.83871
logistic_regression_l1,2,accuracy,0.903226
logistic_regression_l1,3,accuracy,0.83871
logistic_regression_l1,4,accuracy,0.8
logistic_regression_l1,5,accuracy,0.833333
logistic_regression_l1,6,accuracy,0.766667
logistic_regression_l1,7,accuracy,0.833333
logistic_regression_l1,8,accuracy,0.766667
logistic_regression_l1,9,accuracy,0.933333
logistic_regression_l1,10,accuracy,0.833333
logistic_regression_l1,1,brier_score,0.119278
logistic_regression_l1,2,brier_score,0.077474
logistic_regression_l1,3,brier_score,0.132001
logistic_regression_l1,4,brier_score,0.13687
logistic_regression_l1,5,brier_score,0.11447
logistic_regression_l1,6,brier_score,0.154787
logistic_regression_l1,7,brier_score,0.073885
logistic_regression_l1,8,brier_score,0.156949
logistic_regression_l1,9,brier_score,0.074205
logistic_regression_l1,10,brier_score,0.152812
logistic_regression_l1,1,f1,0.814815
logistic_regression_l1,2,f1,0.896552
logistic_regression_l1,3,f1,0.814815
logistic_regression_l1,4,f1,0.769231
logistic_regression_l1,5,f1,0.827586
logistic_regression_l1,6,f1,0.72
logistic_regression_l1,7,f1,0.814815
logistic_regression_l1,8,f1,0.740741
logistic_regression_l1,9,f1,0.923077
logistic_regression_l1,10,f1,0.8
logistic_regression_l1,1,pr_auc,0.915702
logistic_regression_l1,2,pr_auc,0.976101
logistic_regression_l1,3,pr_auc,0.836675
logistic_regression_l1,4,pr_auc,0.864806
logistic_regression_l1,5,pr_auc,0.934268
logistic_regression_l1,6,pr_auc,0.858272
logistic_regression_l1,7,pr_auc,0.971344
logistic_regression_l1,8,pr_auc,0.891807
logistic_regression_l1,9,pr_auc,0.957509
logistic_regression_l1,10,pr_auc,0.840607
logistic_regression_l1,1,precision,0.846154
logistic_regression_l1,2,precision,0.866667
logistic_regression_l1,3,precision,0.846154
logistic_regression_l1,4,precision,0.769231
logistic_regression_l1,5,precision,0.8
logistic_regression_l1,6,precision,0.818182
logistic_regression_l1,7,precision,0.846154
logistic_regression_l1,8,precision,0.769231
logistic_regression_l1,9,precision,1.0
logistic_regression_l1,10,precision,0.909091
logistic_regression_l1,1,recall,0.785714
logistic_regression_l1,2,recall,0.928571
logistic_regression_l1,3,recall,0.785714
logistic_regression_l1,4,recall,0.769231
logistic_regression_l1,5,recall,0.857143
logistic_regression_l1,6,recall,0.642857
logistic_regression_l1,7,recall,0.785714
logistic_regression_l1,8,recall,0.714286
logistic_regression_l1,9,recall,0.857143
logistic_regression_l1,10,recall,0.714286
logistic_regression_l1,1,roc_auc,0.915966
logistic_regression_l1,2,roc_auc,0.97479
logistic_regression_l1,3,roc_auc,0.878151
logistic_regression_l1,4,roc_auc,0.895928
logistic_regression_l1,5,roc_auc,0.924107
logistic_regression_l1,6,roc_auc,0.848214
logistic_regression_l1,7,roc_auc,0.973214
logistic_regression_l1,8,roc_auc,0.883929
logistic_regression_l1,9,roc_auc,0.9375
logistic_regression_l1,10,roc_auc,0.861607
random_forest,1,accuracy,0.870968
random_forest,2,accuracy,0.903226
random_forest,3,accuracy,0.741935
random_forest,4,accuracy,0.833333
random_forest,5,accuracy,0.8
random_forest,6,accuracy,0.8
random_forest,7,accuracy,0.9
random_forest,8,accuracy,0.766667
random_forest,9,accuracy,0.9
random_forest,10,accuracy,0.8
random_forest,1,brier_score,0.112655
random_forest,2,brier_score,0.092285
random_forest,3,brier_score,0.147739
random_forest,4,brier_score,0.137549
random_forest,5,brier_score,0.116528
random_forest,6,brier_score,0.154117
random_forest,7,brier_score,0.097637
random_forest,8,brier_score,0.146327
random_forest,9,brier_score,0.094175
random_forest,10,brier_score,0.14042
random_forest,1,f1,0.866667
random_forest,2,f1,0.888889
random_forest,3,f1,0.733333
random_forest,4,f1,0.8
random_forest,5,f1,0.8
random_forest,6,f1,0.769231
random_forest,7,f1,0.88
random_forest,8,f1,0.758621
random_forest,9,f1,0.88
random_forest,10,f1,0.769231
random_forest,1,pr_auc,0.942693
random_forest,2,pr_auc,0.962555
random_forest,3,pr_auc,0.830047
random_forest,4,pr_auc,0.852401
random_forest,5,pr_auc,0.943908
random_forest,6,pr_auc,0.871199
random_forest,7,pr_auc,0.964399
random_forest,8,pr_auc,0.882651
random_forest,9,pr_auc,0.954185
random_forest,10,pr_auc,0.896765
random_forest,1,precision,0.8125
random_forest,2,precision,0.923077
random_forest,3,precision,0.6875
random_forest,4,precision,0.833333
random_forest,5,precision,0.75
random_forest,6,precision,0.833333
random_forest,7,precision,1.0
random_forest,8,precision,0.733333
random_forest,9,precision,1.0
random_forest,10,precision,0.833333
random_forest,1,recall,0.928571
random_forest,2,recall,0.857143
random_forest,3,recall,0.785714
random_forest,4,recall,0.769231
random_forest,5,recall,0.857143
random_forest,6,recall,0.714286
random_forest,7,recall,0.785714
random_forest,8,recall,0.785714
random_forest,9,recall,0.785714
random_forest,10,recall,0.714286
random_forest,1,roc_auc,0.941176
random_forest,2,roc_auc,0.966387
random_forest,3,roc_auc,0.87395
random_forest,4,roc_auc,0.891403
random_forest,5,roc_auc,0.9375
random_forest,6,roc_auc,0.857143
random_forest,7,roc_auc,0.964286
random_forest,8,roc_auc,0.875
random_forest,9,roc_auc,0.941964
random_forest,10,roc_auc,0.892857
